James B. Nutter & Company,Closed with explanation,1104640,Mortgage
Experian,Closed with non-monetary relief,1104372,Credit reporting
Experian,Closed with non-monetary relief,1104500,Credit reporting
TransUnion,Closed with non-monetary relief,1104486,Credit reporting
JPMorgan Chase,Closed,1104548,Mortgage
TransUnion,Closed with non-monetary relief,1104371,Credit reporting
Bank of America,In progress,1104442,Bank account or service
Nationstar Mortgage,In progress,1103008,Mortgage
"CMRE Financial Services, Inc.",In progress,1103927,Debt collection
Bank of America,In progress,1104567,Bank account or service
Wells Fargo,Closed with explanation,1104359,Bank account or service
Experian,Closed with non-monetary relief,1103972,Credit reporting
Bonneville Billing and Collections,Closed with explanation,1104588,Debt collection
"Expert Global Solutions, Inc.",In progress,1103791,Debt collection
Bank of America,Closed,1103790,Mortgage
First Niagara Bank,In progress,1102860,Mortgage
Nationstar Mortgage,Closed with explanation,1102826,Mortgage
Wells Fargo,Closed with explanation,1103900,Bank account or service
Flagstar Bank,In progress,1103608,Mortgage
TransUnion,Closed with non-monetary relief,1103606,Credit reporting
"Capital Management Services, LP",Closed with explanation,1102856,Debt collection
Citibank,Closed with explanation,1102846,Mortgage
Santander Bank US,In progress,1102881,Bank account or service
Citibank,Closed with explanation,1103565,Debt collection
Stellar Recovery Inc.,Closed with explanation,1103583,Debt collection
Revenue Recovery Corporation,Closed with explanation,1103554,Debt collection
CNG Financial Corporation,Closed with explanation,1103917,Debt collection
TransUnion,In progress,1103782,Credit reporting
"Debt Recovery Solutions, LLC",Closed with explanation,1103296,Debt collection
JPMorgan Chase,Closed with explanation,1103252,Bank account or service
"HCFS Health Care Financial Services, Inc.",Closed with explanation,1103279,Debt collection
"Expert Global Solutions, Inc.",In progress,1103386,Debt collection
"Eastern Account Systems of Connecticut, Inc.",Closed with explanation,1103191,Debt collection
Nationstar Mortgage,In progress,1103221,Mortgage
JPMorgan Chase,Closed with monetary relief,1103176,Credit card
BOK Financial Corp,Closed with explanation,1103066,Bank account or service
Nationstar Mortgage,Closed with explanation,1103223,Mortgage
"LTD Financial Services, L.P.",Closed with non-monetary relief,1102219,Debt collection
Stellar Recovery Inc.,Closed with explanation,1103046,Debt collection
Experian,In progress,1103474,Credit reporting
Wells Fargo,Closed with monetary relief,1103472,Bank account or service
Alliance Collection Service,Closed with explanation,1102901,Debt collection
TransUnion,Closed with explanation,1103148,Credit reporting
Iowa Student Loan,Closed with explanation,1102674,Student loan
"Amsher Collection Services, Inc.",Closed with non-monetary relief,1103094,Debt collection
Comerica,Closed with explanation,1103908,Bank account or service
Experian,In progress,1103994,Credit reporting
Ocwen,Closed with explanation,1103218,Mortgage
Experian,Closed with explanation,1103142,Credit reporting
Experian,In progress,1103976,Credit reporting
Equifax,Closed with non-monetary relief,1102994,Credit reporting
HSBC,Closed with explanation,1103130,Mortgage
JPMorgan Chase,Closed with explanation,1103126,Bank account or service
"First National Collection Bureau, Inc.",Closed with explanation,1103121,Debt collection
JPMorgan Chase,Closed with non-monetary relief,1103144,Debt collection
"Select Portfolio Servicing, Inc",Closed with explanation,1103208,Mortgage
Equifax,Closed with non-monetary relief,1103914,Credit reporting
Americollect Inc,Closed with explanation,1104546,Debt collection
TransUnion,Closed with non-monetary relief,1103974,Credit reporting
Equifax,Closed with explanation,1103794,Credit reporting
Citibank,In progress,1102962,Mortgage
"The CBE Group, Inc.",Closed with explanation,1102669,Debt collection
TransUnion,In progress,1103977,Credit reporting
JPMorgan Chase,Closed with explanation,1104467,Debt collection
Flagstar Bank,Closed with explanation,1104453,Mortgage
Discover,Closed with explanation,1104514,Credit card
Equifax,Closed with non-monetary relief,1102233,Credit reporting
